KEY,VALUE
settings_gameplay_header_ui_scale,界面缩放比例
settings_gameplay_button_ui_scale,缩放数值：
settings_gameplay_button_ui_scale_apply,应用缩放比例
settings_gameplay_button_ui_scale_reset,重置
settings_gameplay_button_fullscreen,[全屏显示]：
settings_gameplay_button_hide_sidebars,[隐藏侧边栏]：
settings_gameplay_button_dynamic_margins,[使用动态边距]：
settings_gameplay_header_compass_scale,指南针缩放
settings_gameplay_button_compass_scale,缩放数值：
settings_gameplay_button_compass_scale_apply,应用缩放
settings_gameplay_button_compass_scale_reset,重置
settings_controls_title,控制设置
settings_controls_text,"方向控制
北：W / 上箭头
东：D / 右箭头
南：S / 下箭头
西：A / 左箭头

持续移动：长按空格 + 方向键

交互控制
下一页：空格键
返回：R / Esc键
快捷栏：0-9
通用互动：E键
武器攻击（最近目标）：Q键
选择最近目标（攻击时）：Q键
使用治疗物品：H键
观察环境：L键
技能列表：T键
玩家菜单：M键
消息日志：B键
待机：N键
拾取物品：P键
复制文本：Ctrl-C
"
saves_autosaves_title,自动存档
saves_autosaves_text,此处为自动存档列表，这些存档将在游戏过程中自动生成。
saves_autosaves_question_load,是否加载自动存档位 %s？所有未保存的进度将会丢失。
dev_console_title,作弊控制台
dev_console_text,"
此处为作弊代码控制台！
建议仅使用Patreon指南中描述的作弊代码。
可通过输入'help'指令查找其他代码，但这些代码仅用于调试目的，可能导致存档损坏。
"
dev_console_enter_command,输入指令...
dev_console_button_sumbit,提交/投降
dev_console_messages,控制台信息：
dev_console_parse_fail,DevConsole._HandleCommandInternal：未找到'%s'的指令处理器。
ui_messages_log_title,消息日志
ui_messages_log_no_messages,暂无消息记录...
gallery_title,收藏图鉴
gallery_button_public,（{0}/{1}）性爱场景
gallery_button_patreon,（{0}/{1}）Patreon专属性爱场景
sex_scene_gallery_title,性爱场景画廊
sex_scene_gallery_no_entries,暂无收录内容...
sex_scene_patreon_gallery_title,Patreon专属性爱场景画廊
sex_scene_patreon_gallery_text,"
此内容仅限绒毛飞蛾等级赞助版可用
欢迎访问<loh([url='https://www.patreon.com/nranchs']Patreon[/url])>页面了解更多详情
"
animation_gallery_title,动画画廊
animation_patreon_gallery_title,Patreon专属动画画廊 
animation_patreon_gallery_text,"
以下场景仅限「绒毛飞蛾」等级赞助版本解锁
请访问<loh([url='https://www.patreon.com/nranchs']Patreon[/url])>页面获取更多信息"
do_shop_text,当前持有<stat_value(guilders)>枚<stat_i(guilders)>
do_shop_button_buy,购买
do_shop_button_try_on,试穿
do_shop_nothing_for_sale,当前无商品可售
do_shop_button_open_shop,商品选购
afflictions_title,角色异常状态
afflictions_no_entries,
style_swapper_title,造型切换器
style_swapper_species,[种族]：
style_swapper_tint,[肤色]：
style_swapper_hair,[发型]：
style_swapper_chest,[胸部]：
style_swapper_phallus,[阴茎]：
style_swapper_vulva,[阴户]：
style_swapper_eyes,[眼部]：
style_swapper_expression,[表情]：
style_swapper_pregnancy,[妊娠状态]：
style_swapper_tail,[尾部]：
style_swapper_main_hand,[主手]：
style_swapper_off_hand,[副手]：
style_swapper_underwear,[下装]：
style_swapper_bra,[胸衣]：
style_swapper_shirt,[上装]：
style_swapper_jeans,[裤装]：
style_swapper_shoes,[鞋靴]：
style_swapper_helm,[头盔]：
character_creator_title,角色创建器
character_creator_text1,現在陌生人，告訴我你的名字：
character_creator_enter_name,请输入姓名...
character_creator_name_too_short,无法使用「%s」：姓名至少需要2个字符
character_creator_button_confirm,确认
character_species_title,角色种族
character_species_species,[种族选择]：
genitals_iterator_penis,阴茎
genitals_iterator_vagina,阴道
genitals_iterator_penis_and_vagina,阴茎&阴道
character_portrait_title,人物肖像
character_portrait_tint,[肤色]：
character_portrait_hair,[发型]：
character_portrait_chest,[胸部]：
character_portrait_eyes,[眼部]：
character_portrait_tail,[尾部]：
character_settings_title,角色属性设置
character_settings_tags_header,"游戏使用标签系统提供可选对话。
您可以标记要应用于角色的标签。"
character_settings_tags_text,角色特征标签
character_settings_trans,[跨性别]：
character_settings_enby,[非二元性别]：
character_settings_settings_header,快速设置
stats_reset_required_title,需重置属性
stats_reset_required_text,"因战斗系统版本更新，您角色的部分数据与当前游戏版本不兼容。
需进行属性重置操作。
重置后将解除所有装备、清空已学技能并重置生命值。
所有经验值、技能点与已获等级将全额返还。
		
"
deaths_door_draft_consume_text,"
你仰头将那团可怕的黑色粘液一饮而尽，竭力不去思考其中块状物的来源。
片刻之后，你的胃开始翻江倒海，你感觉浑身无力。

<q>——[生命值降至1点]</q>
"
menu_items_title,物品栏
menu_items_button_inventory,存貨
menu_items_button_equipment,装备
menu_items_button_crafting,制作
current_equipment_title,当前装备
current_equipment_button_unequip,卸下装备
current_equipment_button_find,查找%s装备
crafting_title,制作
try_on_text,装备<item_i(%s)>后的预览效果
configure_hotbar_title,快捷栏配置
bind_hotbar_slot_button_skills,技能
bind_hotbar_slot_button_items,物品
bind_skills_title,绑定技能
bind_skills_no_valid,无可用选项...
bind_items_title,绑定物品
bind_items_no_valid,无可用选项...
inventory_title,存貨
inventory_no_valid,暂无物品
inventory_button_no_left,左侧无页面
inventory_button_no_right,右侧无页面
item_select_discard_text,"
请选择要丢弃的<item_i({0})>数量：
当前持有：{1}
  
"
item_select_discard_button_discard_1,丢弃1个
item_select_discard_button_discard_all,全部丢弃
item_select_place_text,"
请选择要丢弃的<item_i({0})>数量：
当前持有数量：{1}
		
"
item_select_place_button_place_1,放置1个
item_select_place_button_place_all,全部放置
level_up_title,升级！
level_up_text,"
您的<stat_i(level)>已提升至%s级
请选择一项属性+2
  
"
level_up_button_increase,提升 %s
apply_level_up_text,"
恭喜升级！
您的<player_class_i>职业为您增加了<player_class_hp>点<stat_i(hp)>、<player_class_flux>点<stat_i(flux)>与<player_class_lust>点<stat_i(lust)>
同时获得3点<stat_i(skill_points)>

<q>——生命值已完全恢复</q>
		
"
pregnancy_title,妊娠状态
pregnancy_text,"
<c(grey80)>妊娠系统目前仍在开发中，相关功能暂未实装。
完整系统将在后续更新中开放。
您可查看[url='https://discord.gg/DxTEHs4Xgb']Discord公告[/url]获取最新开发进度。</c>
  
"
genitals_character_title,生殖器官
genitals_character_no_valid,无可用选项...
saves_title,存档管理
saves_button_load,读取存档
saves_button_save,保存存档
saves_button_autosaves,自动存档
saves_button_upload,上传文件
saves_button_download,下载文件
saves_button_clipboard,剪贴板存取
saves_save_title,存档操作
saves_save_text,手动存档界面，请选择存档位
saves_save_question_override,是否覆盖存档位 %s？
saves_save_button_no_left,左侧无页面
saves_save_save_format_empty,[存档位 %s]：空
saves_save_save_format,[存档位 {0}]（{1}）：{2}
saves_load_title,读取操作
saves_load_text,存档读取界面，请选择存档位
saves_load_question_load,是否读取存档位 %s？所有未保存进度将丢失
saves_upload_io_upload_text,存档文件需放置于以下文件夹：
saves_upload_io_upload_todo,TODO: Make file uploader.
saves_download_io_download_not_supported,当前平台不支持存档下载，可在此文件夹查找存档：
clipboard_copy_paste_title,剪贴板操作
clipboard_copy_paste_text,通过系统剪贴板导入/导出存档数据
clipboard_copy_paste_button_copy,复制当前存档至剪贴板
clipboard_copy_paste_button_paste,从剪贴板加载存档
clipboard_copy_paste_paste_fail_empty,剪贴板内容为空（可能设备剪贴板不受支持）
clipboard_copy_paste_paste_fail_start,输入值不是有效的存档格式
clipboard_copy_paste_copy_success,存档已成功复制至剪贴板！
choose_genitals_title,生殖器选择
choose_genitals_text,请选择此次动作使用的生殖器类型
choose_genitals_no_valid,当前无内容...
choose_genitals_button_back,返回
skills_title,技能列表
skills_button_skill,使用技能
skills_button_skill_detailed,技能详情
skills_button_passive,查看被动技能
skills_button_trees,技能树
skills_use_title,技能施放
skills_use_no_valid,当前无可用技能
skills_use_detailed_title,技能详细说明
skills_passive_title,被动技能
skills_passive_no_valid,当前无内容
skills_buy_title,技能点分配
skills_buy_text,剩余技能点：%s
skills_buy_no_valid,当前无可用项目
do_inspect_cannot,无法查看该单位属性
display_skill_trees_title,技能树
display_skill_trees_text,"
当前剩余<stat_value(skill_points)>点<stat_i(skill_points)>
已在<skill_tree_i({2})>技能树投入{0}/{1}点技能点
		
"
skill_trees_buy_skill_title,学习技能
display_stats_resist1,[color={0}]{1}% 抗性[/color]
display_stats_resist2,[color={0}]{1}% 易伤[/color]
display_stats_resist3,[color={0}]{1}% 抗性[/color]
display_stats_resist4,[color={0}]{1}% 治疗[/color]
display_stats_per_turn,[b][{0}][/b]: {1} / {2} ({3} 每回合)
ui_map_targeting_header,目标：%s
ui_map_targeting_header_dialogue,目标选择：%s
ui_map_targeting_back,返回
ui_map_targeting_out_of_reach,超出范围
ui_map_targeting_cannot_target_empty,无法选择空地块
ui_map_targeting_invalid_target,无效目标
ui_map_targeting_no_valid_target,无有效目标
compass_tooltip_north,向北移动 [W/上箭头，长按空格连续移动]
compass_tooltip_east,向东移动 [D/右箭头，长按空格连续移动]
compass_tooltip_south,向南移动 [S/下箭头，长按空格连续移动]
compass_tooltip_west,向西移动 [A/左箭头，长按空格连续移动]
compass_tooltip_attack,武器攻击 [Q]
compass_tooltip_healing,治疗物品 [H]
compass_tooltip_skills,技能列表 [T]
compass_tooltip_investigate,观察 [L]
compass_tooltip_console,消息日志 [B]
compass_tooltip_menu,玩家菜单 [M]
ui_side_panel_page_name,测试页面
ui_player_page_name,角色立绘
ui_player_page_species,种族
ui_player_page_exp,经验值
ui_player_page_skill_points,技能点
ui_player_page_guilders,金币
ui_affliction_side_panel_page_name,异常状态
ui_affliction_side_panel_page_cannot_find,未找到玩家单位
ui_affliction_side_panel_page_no_active,%s无生效异常状态
skill_inspect_name,检查
skill_inspect_description,获取视线范围内物体的详细信息
skill_first_aid_name,急救
skill_first_aid_description,"
您娴熟的战地急救技巧能快速处理重伤
恢复<stat_i(hp)>最大值的60%
每次休息仅可使用1次
"
skill_arcane_inspiration_name,奥术灵感
skill_arcane_inspiration_description,"
你的奥术知识激励着你，使你恢复60%的<stat_i(flux)>。
每次休息只能使用1次。"
skill_meditate_name,冥想
skill_meditate_description,"
您通过自我调控重获内心平静，使<stat_i(lust)>降低60%
每次休息仅可使用1次"
skill_fireball_name,火球术
skill_fireball_description,向敌人投掷火球！声势夺目但杀伤有限。对单个目标造成<resistance_i(fire)>伤害的魔法攻击。
skill_magic_missile_name,魔法飞弹
skill_magic_missile_description,向目标方向发射多重魔法箭矢。生成4枚<resistance_i(aether)>飞弹攻击目标区域。
skill_powershot_name,蓄力射击
skill_powershot_description,凝聚内力发动强力射击，造成<resistance_i(earth)>伤害。需装备远程武器。
skill_snipe_name,狙击
skill_snipe_description,集中精神进行超远距射击，造成常规<resistance_i(metal)>伤害。需装备远程武器。
skill_flash_heal_friend_name,友方瞬疗
skill_flash_heal_friend_description,召唤自然精灵治愈附近单位（不可对自身施放），造成<resistance_i(life)>伤害。
skill_blood_to_flux_name,鲜血转化
skill_blood_to_flux_description,将10点<stat_i(hp)>转换为10点<stat_i(flux)>。
skill_cleave_name,顺劈斩
skill_cleave_description,用武器攻击主目标及相邻单位。需装备近战武器，冷却3回合。
skill_song_of_pain_name,痛楚咏叹
skill_song_of_pain_description,将污秽思绪转化为亵渎 ballad，对周围1格范围造成伤害。自身承受12点<stat_i(lust)>伤害，冷却3回合。
skill_whirlwind_blade_name,剑刃风暴
skill_whirlwind_blade_description,如唱片般旋转舞动~对周围1格范围造成伤害。需装备近战武器，冷却3回合。
skill_forceful_blow_name,重击退
skill_forceful_blow_description,猛力击退目标2格距离。需装备近战武器，冷却3回合。
skill_incinerate_name,焚烬术
skill_incinerate_description,在远端区域召唤吞噬火焰，对范围内所有目标造成<resistance_i(fire)>伤害的魔法攻击。
skill_heartbreak_arrow_name,碎心箭
skill_heartbreak_arrow_description,将玩弄感情的手段化为致命武器，对直线上的多个敌人造成<resistance_i(air)>伤害。
skill_jack_of_all_trades_name,万金油
skill_jack_of_all_trades_description,永久提升1点<stat_i(strength)>、<stat_i(constitution)>、<stat_i(skill)>、<stat_i(libido)>、<stat_i(wisdom)>与<stat_i(instinct)>。
skill_human_skill2_name,残魂之契
skill_human_skill2_description,可同时使1名NPC受孕（已有妊娠目标时仍可生效）
skill_scaled_perverts_name,鳞裔纵欲者
skill_scaled_perverts_description,放纵欲望是您的天性。永久提升2点<stat_i(libido)>与2点<stat_i(constitution)>
skill_fast_breeders_name,急速繁衍
skill_fast_breeders_description,更多卵子。更多卵子！更多卵子！！！永久提升5点<stat_i(preg_speed)>与5点<stat_i(virility)>
skill_nimble_beasts_name,灵巧兽裔
skill_nimble_beasts_description,身轻如羽，疾如闪电。永久提升2点<stat_i(skill)>与2点<stat_i(wisdom)>
skill_werebeast_skill2_name,多胎妊娠
skill_werebeast_skill2_description,获得额外子宫受孕位（启用男性妊娠时同步生效）
skill_mage_armor_name,法师护甲
skill_mage_armor_description,召唤奥术屏障抵御物理攻击，5回合内获得+50<stat_i(resistance_metal)>，冷却10回合
skill_iron_skin_name,钢铁肌肤
skill_iron_skin_description,皮肤硬化如铁，120回合内获得+4<stat_i(constitution)>
skill_elemental_attunement_name,元素调和
skill_elemental_attunement_description,与元素共鸣使其免伤，120回合内火/水/土/风抗性各提升20点
skill_sharpen_senses_name,野性觉醒
skill_sharpen_senses_description,激发兽性锐化感知，120回合内获得+2<stat_i(skill)>与<stat_i(libido)>
skill_do_nothing_name,待机
skill_do_nothing_description,等待1回合
skill_pickup_name,拾取
skill_pickup_description,拾取脚下物品
skill_toggle_door_name,门扉开关
skill_toggle_door_description,开关相邻门扉
skill_loot_container_name,搜刮容器
skill_loot_container_description,搜刮相邻容器或宝箱
skill_talk_name,交谈
skill_talk_description,与相邻角色交谈
skill_interact_name,通用互动
skill_interact_description,尝试与周边物体进行基础交互（包括拾取/搜刮/开关门/交谈），也可按E键触发
skill_attack_name,武器攻击
skill_attack_description,使用装备武器攻击
skill_attack_nearest_name,最近目标攻击
skill_attack_nearest_description,攻击最近敌人
skill_homeward_teleport_name,归乡传送
skill_homeward_teleport_description,传送至最后的重生点
skill_phantasmal_cock_name,幻影阳具
skill_phantasmal_cock_description,召唤幻影阳具助您开展香艳冒险。毕竟，谁不想要多一根呢？若您无阴茎则视作阴茎，若已有则视为额外阴茎！唯此发光器官无法令受孕。
skill_phantasmal_seed_name,幻影精种
skill_phantasmal_seed_description,您已拥有<skill_i(phantasmal_cock)>，妙哉。若再添幻影精种岂不更佳？您的幻影阳具现可使内射对象受孕。
skill_wall_of_abs_name,肌肉壁垒
skill_wall_of_abs_description,身如磐石肌墙，提升15点<stat_i(max_hp)>。
skill_flux_well_name,灵源深井
skill_flux_well_description,灵思深不见底，提升15点<stat_i(max_flux)>。
skill_lewd_mind_name,淫思邪念
skill_lewd_mind_description,窥尽世间百态，梦魇尤胜现实，提升15点<stat_i(max_lust)>。
skill_massive_climax_name,绝顶洪潮
skill_massive_climax_description,"
TODO massive_climax_description"
skill_thunderbolt_name,雷霆一指
skill_thunderbolt_description,指尖迸发闪电！对单体造成<resistance_i(air)>伤害的魔法攻击。
skill_frost_grasp_name,寒冰掌握
skill_frost_grasp_description,双手覆致命寒气，近战范围单体魔法攻击，造成<resistance_i(water)>伤害。
skill_hail_of_thorns_name,棘雨倾泻
skill_hail_of_thorns_description,向远端目标射出箭雨，化作针幕覆盖区域。范围<resistance_i(earth)>伤害，需装备远程武器。
skill_blizzard_name,极寒暴雪
skill_blizzard_description,召唤地狱寒流席卷远端，范围魔法攻击造成<resistance_i(water)>伤害。
skill_wind_edge_name,风刃斩
skill_wind_edge_description,以近战武器撕裂空气，远程近战攻击造成<resistance_i(air)>伤害并将目标拉近。
skill_dash_name,疾冲
skill_dash_description,快速贴近目标，冷却5回合。
skill_blink_name,瞬闪
skill_blink_description,传送至任意非障碍位置。
skill_emergency_warp_name,紧急跃迁
skill_emergency_warp_description,免费传送法术，冷却10回合，将您随机传送至非障碍位置。
skill_shield_bash_name,盾击
skill_shield_bash_description,用盾牌猛击推开目标3格，无需近战武器。
skill_escape_shot_name,脱身射击
skill_escape_shot_description,快速远程攻击造成<resistance_i(air)>伤害，随后尽可能远离目标2格。
skill_healthy_name,强健体魄
skill_healthy_description,户外活动使您身心俱健，提升5点<stat_i(hp)>、<stat_i(lust)>与<stat_i(flux)>。
skill_plentiful_semen_name,丰沛精源
skill_plentiful_semen_description,增加精液产量，可向伴侣注入更多精华。提升5点<stat_i(virility)>，提高授孕几率。
skill_impregnator_name,播种者
skill_impregnator_description,孕育伴侣的渴望强化您的精神，使精液活性增强。提升1点<stat_i(seed_dice)>，提高授孕几率。
skill_needy_ovaries_name,渴孕卵巢
skill_needy_ovaries_description,被授孕的渴望激活您的潜能，使卵巢活性提升。提升5点<stat_i(fertility)>，提高受孕几率。
skill_continuous_ovulation_name,持续排卵
skill_continuous_ovulation_description,永恒情欲改变体质，卵巢进入超频状态。持续排卵状态更易受孕，降低<stat_i(preg_barrier_womb)>3点。
skill_breeder_name,繁育专家
skill_breeder_description,灵魂终觅天命——光荣繁衍！授孕受精，耕耘沃土，榨取精华，承纳胎种。解锁额外子宫与伴侣妊娠位，可同时进行多类型妊娠。
skill_elemental_deflect_name,元素偏转
skill_elemental_deflect_description,四大元素听您号令，绕身而行免遭伤害。提升火焰、水流、大气、大地抗性各10点。
skill_powerspells_name,咒法强化
skill_powerspells_description,掌控魔法伟力，将咒文效能最大化！提升5点<stat_i(magic_attack)>，增强法术伤害。
skill_metal_mastery_name,金属掌控
skill_metal_mastery_description,化身钢铁，如金属般生存。获得30点<stat_i(resistance_metal)>，降低多数武器攻击受到的伤害。
skill_rock_hard_name,坚若磐石
skill_rock_hard_description,血脉贲张！昂首挺立！青筋暴起！直指苍穹！坚若磐石！！！获得10点<stat_i(defense)>。
skill_bladelord_name,剑术宗师
skill_bladelord_description,人剑合一，臻至化境。获得5点<stat_i(melee_attack)>，提升近战武器与技能伤害。
skill_greater_non_wankery_name,高级禁欲法
skill_greater_non_wankery_description,掌握更高级的禁欲技巧，在持续兴奋中保持不泄。无论欢愉诱惑，岿然不动。获得30点<stat_i(resistance_lust)>，减少所受情欲伤害。
skill_hunter_name,狩猎专家
skill_hunter_description,融于狩猎，洞察万物，弹无虚发。获得5点<stat_i(ranged_attack)>，提升远程武器与技能伤害。
skill_hurricane_slash_name,飓风斩
skill_hurricane_slash_description,以风暴之势挥斩，撕裂前方直线所有敌人。对直线上的多个目标造成<stat_i(resistance_air)>伤害。
skill_railgun_jab_name,电磁突刺
skill_railgun_jab_description,以超视速突刺刃尖，贯穿直线上多个敌人。造成<stat_i(resistance_metal)>伤害。
skill_pyroline_name,炎流喷射
skill_pyroline_description,释放燃烧的火线，灼烧前方直线上所有敌人。造成<stat_i(resistance_fire)>伤害。
skill_magic_lance_name,魔法枪刺
skill_magic_lance_description,凝聚纯粹魔法能量贯穿敌人，对直线上多个目标造成<stat_i(resistance_aether)>伤害。
quest_states_hunt_description,已狩猎 {0}/{1} 只{2}
quest_states_done_description,该任务已完成
quest_main_quest_name,主线任务
quest_main_quest_start,去拥抱玛卡巴
quest_main_quest_go_to_town,你在陌生之地苏醒，需查明自身处境。首先前往最近的小镇。
quest_main_quest_go_to_town1,你在陌生之地苏醒，脑海中的声音指引你寻找莫克。
quest_main_quest_go_to_town2,你在陌生之地苏醒，需查明真相。第一步是找到通往小镇的路。
quest_main_quest_sparktails_spooky_shed,你已初步同意调查<npc_i(sparktail)>的鬼屋事件以换取住宿。请完成<quest_i(sparktails_spooky_shed)>任务。
quest_main_quest_bazels_request,获取<npc_i(honeynalia)>的支持将对重夺王座大有裨益。或许该找<npc_i(bazel)>商讨相关计划。
quest_main_quest_royal_honey_envoy,<npc_i(honeynalia)>的支持是复辟关键。<npc_i(bazel)>正引导你前往<map_i(the_hive)>。【开发中】
quest_goblin_paupers_name,哥布林窃袍记
quest_goblin_paupers_start,寻找盗走吉娜薇芙王室礼袍的哥布林。【开发中】
quest_royal_ghost_name,皇家幽灵
quest_royal_ghost_start,吉娜薇芙的幽魂纠缠着你，实在恼人。或许暗丘东边的当地教堂有驱魔专家。前往教堂寻求解除异常状态的方法。
quest_royal_ghost_got_macguffin,你已找到<item_i(super_spiritual_macguffin)>，接下来需弄清其用途。<npc_i(no_wank_master)>曾提及要寻找比附身对象更具吸引力的容器。【开发中】
quest_sparktails_spooky_shed_name,火花尾的诡异工棚
quest_sparktails_spooky_shed_start,<npc_i(sparktail)>的学徒在清理工棚后失踪。前往暗丘西部进入<map_i(the_shed)>查探情况。
quest_sparktails_spooky_shed_return,你已找到<npc_i(bazel)>但她神志不清。应该带她回到<npc_i(sparktail)>处。
quest_sparktails_spooky_shed_turn_in,你已找到<npc_i(bazel)>但她神志不清。<npc_i(sparktail)>让你带她去旅店旁的托儿所。
quest_pest_control_name,虫害防治
quest_pest_control_start,<npc_i(sparktail)>委托进行害虫清理。已消灭{0}/{1}只{2}。
quest_pest_control_turn_in,已完成除虫任务。返回<npc_i(sparktail)>处交还任务。
quest_sparktails_grudge_name,火花尾的复仇
quest_sparktails_grudge_start,已在<map_i(church_dungeon_f1)>消灭{0}/{1}名{2}。
quest_sparktails_grudge_turn_in,已完成肃清任务。返回<npc_i(sparktail)>处交还任务。
quest_make_me_a_bow_name,制弓委托
quest_make_me_a_bow_turn_in,<npc_i(order_of_purity)>成员要求制作<item_i(shortbow)>。通过狩猎叶甲虫收集材料，并将成品交给她。
quest_morks_mentor_name,莫克的导师
quest_morks_mentor_start,<npc_i(mork)>在<map_i(sunlit_clearing_f4)>闻到导师气息。探索林间空地寻找飞蛾人的神秘导师咨询对策。
quest_morks_mentor_bossfight,<npc_i(fiveleg)>发起挑战。击败他并取得胜利。
quest_morks_mentor_victory,已战胜<npc_i(fiveleg)>。与他交谈听取建议。
quest_morks_drunken_night_name,莫克的醉夜
quest_morks_drunken_night_start,你同意与<npc_i(mork)>小酌。前往<map_i(lightn_inn)>与他畅谈。
quest_heavens_draft_name,天界佳酿
quest_heavens_draft_start,<npc_i(garter)>委托你进入地下室取回<item_i(garters_crate)>。
quest_heavens_draft_alice_talk,设法与天使交合以获取<item_i(feather_of_purity)>。
tiled_map_test_name,测试地图
tiled_map_test_description,测试？测试。测试！此为测试场景！！
tiled_map_afterlife_plus_name,冥界PLUS
tiled_map_afterlife_plus_description,异境中的奇特办公室，处处散发着强烈的千禧年初风格。
tiled_map_shady_meetup_name,密林暗会
